Timestamp,Wallet,TokenAccount,Status,TX_Hash_or_Error
2025-07-08 21:55:22.109015,7oHknUmKc1jsTJoHmjiKXDjWXQocPr468La7YVprQuUA,6P8fGLZtrjpxHWGSFuPz2kgQ5X5pxhRZRCn28An5qNKy,FAILED,cannot access local variable 'skipped_count' where it is not associated with a value
2025-07-08 21:55:23.729266,7oHknUmKc1jsTJoHmjiKXDjWXQocPr468La7YVprQuUA,GjTfKEaSF5F3Pu1PMg18FPCm1qMzup4AC6ZfCA52czD2,FAILED,cannot access local variable 'skipped_count' where it is not associated with a value
2025-07-08 21:55:25.884830,5spfmL3ZksWzAdAoKE5VzUuQKW5R3CwxbJYBJBymXYMH,9neMEFpidkJvWzVrYppVZPwQzuLwZpUC9L6Rgm5mbxLR,FAILED,cannot access local variable 'skipped_count' where it is not associated with a value
2025-07-08 21:55:27.788428,5spfmL3ZksWzAdAoKE5VzUuQKW5R3CwxbJYBJBymXYMH,GokJZenbd6DPNSnbiYJTsrsihXYZLZKmsxcoaueX2A2L,FAILED,cannot access local variable 'skipped_count' where it is not associated with a value
2025-07-08 21:55:29.966876,5spfmL3ZksWzAdAoKE5VzUuQKW5R3CwxbJYBJBymXYMH,2giSV2bRgRL7woRHxcY9NRWxjbBgkevu3MQjEmR7uyx2,FAILED,cannot access local variable 'skipped_count' where it is not associated with a value
2025-07-08 21:55:31.020152,5spfmL3ZksWzAdAoKE5VzUuQKW5R3CwxbJYBJBymXYMH,AuD57WXsw6TAoymdE53r2niDUdJuQUfT4xviykQUyfG8,FAILED,cannot access local variable 'skipped_count' where it is not associated with a value
2025-07-08 21:55:32.082335,5spfmL3ZksWzAdAoKE5VzUuQKW5R3CwxbJYBJBymXYMH,GkdRAYfVEZrhajVt33MPyQcJUxfVAucKrvjuEJGkY5TS,FAILED,cannot access local variable 'skipped_count' where it is not associated with a value
2025-07-08 21:55:33.755700,5spfmL3ZksWzAdAoKE5VzUuQKW5R3CwxbJYBJBymXYMH,EvjJatys1TqDWmy81g7wPgv7Kmy4uZUw9QkHXb96rGNS,FAILED,cannot access local variable 'skipped_count' where it is not associated with a value
2025-07-08 21:55:35.175919,5spfmL3ZksWzAdAoKE5VzUuQKW5R3CwxbJYBJBymXYMH,6r49BUVGbGD8zTNFcDhkAuyQXWTQncTkknGg8o2ZPEPQ,FAILED,cannot access local variable 'skipped_count' where it is not associated with a value
2025-07-08 21:55:36.565058,5spfmL3ZksWzAdAoKE5VzUuQKW5R3CwxbJYBJBymXYMH,6AwL4arfFzHjMyvdGFQtkiaJiazEcha51warZ7eYn565,FAILED,cannot access local variable 'skipped_count' where it is not associated with a value
2025-07-08 21:55:37.826268,5spfmL3ZksWzAdAoKE5VzUuQKW5R3CwxbJYBJBymXYMH,6sfL381sZy4eCgh8GgZ4xTCrPwvDP6rcR1KP8hkLhizn,FAILED,cannot access local variable 'skipped_count' where it is not associated with a value
2025-07-08 21:55:39.459233,5spfmL3ZksWzAdAoKE5VzUuQKW5R3CwxbJYBJBymXYMH,DmCUA5Bf2U7X91Qh1pNRAYR3bJa2bRHDaAfxq9L6VdDR,FAILED,cannot access local variable 'skipped_count' where it is not associated with a value
2025-07-08 21:55:40.956804,5spfmL3ZksWzAdAoKE5VzUuQKW5R3CwxbJYBJBymXYMH,GHvCuuyHgDg6f1o3Znc2XuzMyPtyqfiVnH3DdKBBGu6T,FAILED,cannot access local variable 'skipped_count' where it is not associated with a value
2025-07-08 21:55:42.790333,5spfmL3ZksWzAdAoKE5VzUuQKW5R3CwxbJYBJBymXYMH,EwSv9RQE9vF1gFa2F87ma2yGruqsTteU92V3W2M7LXgR,FAILED,cannot access local variable 'skipped_count' where it is not associated with a value
2025-07-08 21:55:44.399199,5spfmL3ZksWzAdAoKE5VzUuQKW5R3CwxbJYBJBymXYMH,9wCo7487iBB9fFEUKNDLNzB2581EpKqjcDXBr33cMm23,FAILED,cannot access local variable 'skipped_count' where it is not associated with a value
2025-07-08 21:55:46.798875,7afEhbGdoUtEXMYuAw5UF38S7eRZ54Q6jggZ5Dy9w5td,3hvb5Yvo76vM9DkRtqd7jVm2EePjG77Np7c8ug4Xnuub,FAILED,cannot access local variable 'skipped_count' where it is not associated with a value
2025-07-08 21:55:49.416472,7afEhbGdoUtEXMYuAw5UF38S7eRZ54Q6jggZ5Dy9w5td,3pPWiV8Co8ha4233A7DcMZ3piDvyiJmqinbV7jhNBd3H,FAILED,cannot access local variable 'skipped_count' where it is not associated with a value
2025-07-08 21:57:37.010838,34rLHQHzJLwb86nJQv85ymiuKpJ4zoFMWXB3Jdibsasu,FnRCqvwzc13mbZaEfQNA1PWfLuf9M4k4edQ8JHcEBDi5,FAILED,cannot access local variable 'skipped_count' where it is not associated with a value
2025-07-08 21:57:38.634559,34rLHQHzJLwb86nJQv85ymiuKpJ4zoFMWXB3Jdibsasu,4Tr8fvMciK117L3uGy6V3EnKqBgzDWHptXMqWNKvgkpj,FAILED,cannot access local variable 'skipped_count' where it is not associated with a value
